2026-07-16 22:38:06,503 | INFO | Epoch 051 | loss=1.2071 | val_acc=0.6172 | best=0.6262
2026-07-16 22:42:38,970 | INFO | Epoch 052 | loss=1.1891 | val_acc=0.6124 | best=0.6262
2026-07-16 22:47:11,344 | INFO | Epoch 053 | loss=1.1719 | val_acc=0.6170 | best=0.6262
2026-07-16 22:51:44,710 | INFO | Epoch 054 | loss=1.1585 | val_acc=0.6278 | best=0.6278
2026-07-16 22:56:16,897 | INFO | Epoch 055 | loss=1.1381 | val_acc=0.6238 | best=0.6278
2026-07-16 23:00:49,565 | INFO | Epoch 056 | loss=1.1215 | val_acc=0.6280 | best=0.6280
2026-07-16 23:05:21,488 | INFO | Epoch 057 | loss=1.1095 | val_acc=0.6258 | best=0.6280
2026-07-16 23:09:53,717 | INFO | Epoch 058 | loss=1.0912 | val_acc=0.6260 | best=0.6280
2026-07-16 23:14:25,678 | INFO | Epoch 059 | loss=1.0800 | val_acc=0.6204 | best=0.6280
2026-07-16 23:18:57,605 | INFO | Epoch 060 | loss=1.0630 | val_acc=0.6114 | best=0.6280
2026-07-16 23:23:30,416 | INFO | Epoch 061 | loss=1.0504 | val_acc=0.6344 | best=0.6344
2026-07-16 23:28:02,820 | INFO | Epoch 062 | loss=1.0349 | val_acc=0.6266 | best=0.6344
2026-07-16 23:32:34,686 | INFO | Epoch 063 | loss=1.0209 | val_acc=0.6252 | best=0.6344
2026-07-16 23:37:06,621 | INFO | Epoch 064 | loss=1.0093 | val_acc=0.6248 | best=0.6344
2026-07-16 23:41:38,569 | INFO | Epoch 065 | loss=0.9976 | val_acc=0.6296 | best=0.6344
2026-07-16 23:46:10,601 | INFO | Epoch 066 | loss=0.9855 | val_acc=0.6220 | best=0.6344
2026-07-16 23:50:43,112 | INFO | Epoch 067 | loss=0.9711 | val_acc=0.6264 | best=0.6344
2026-07-16 23:55:15,684 | INFO | Epoch 068 | loss=0.9592 | val_acc=0.6258 | best=0.6344
2026-07-16 23:59:48,748 | INFO | Epoch 069 | loss=0.9478 | val_acc=0.6396 | best=0.6396
2026-07-17 00:04:21,332 | INFO | Epoch 070 | loss=0.9380 | val_acc=0.6330 | best=0.6396
2026-07-17 00:08:53,433 | INFO | Epoch 071 | loss=0.9265 | val_acc=0.6374 | best=0.6396
2026-07-17 00:13:26,109 | INFO | Epoch 072 | loss=0.9155 | val_acc=0.6298 | best=0.6396
2026-07-17 00:17:58,704 | INFO | Epoch 073 | loss=0.9075 | val_acc=0.6350 | best=0.6396
2026-07-17 00:22:30,884 | INFO | Epoch 074 | loss=0.8977 | val_acc=0.6368 | best=0.6396
2026-07-17 00:27:03,950 | INFO | Epoch 075 | loss=0.8875 | val_acc=0.6508 | best=0.6508
2026-07-17 00:31:36,702 | INFO | Epoch 076 | loss=0.8797 | val_acc=0.6444 | best=0.6508
2026-07-17 00:36:08,754 | INFO | Epoch 077 | loss=0.8717 | val_acc=0.6406 | best=0.6508
2026-07-17 00:40:40,494 | INFO | Epoch 078 | loss=0.8623 | val_acc=0.6412 | best=0.6508
2026-07-17 00:45:13,053 | INFO | Epoch 079 | loss=0.8549 | val_acc=0.6526 | best=0.6526
2026-07-17 00:49:45,675 | INFO | Epoch 080 | loss=0.8499 | val_acc=0.6532 | best=0.6532
2026-07-17 00:54:17,867 | INFO | Epoch 081 | loss=0.8424 | val_acc=0.6466 | best=0.6532
